station_1,station_1_name,station_2,station_2_name,distance
89,Euston,145,King's Cross St. Pancras,745.4333128
89,Euston,277,Warren Street,507.9665068
95,Finsbury Park,123,Highbury & Islington,2032.321857
95,Finsbury Park,224,Seven Sisters,2968.213353
107,Green Park,192,Oxford Circus,927.8415421
107,Green Park,273,Victoria,1142.473529
123,Highbury & Islington,145,King's Cross St. Pancras,2178.796828
192,Oxford Circus,277,Warren Street,1100.446145
198,Pimlico,272,Vauxhall,665.8033511
198,Pimlico,273,Victoria,1121.427861
224,Seven Sisters,260,Tottenham Hale,1264.830142
245,Stockwell,272,Vauxhall,1543.644784
13,Bank,279,Waterloo,2085.27535
4,All Saints,70,Devons Road,1324.661595
4,All Saints,201,Poplar,447.8032041
13,Bank,225,Shadwell,2270.131724
19,Beckton,97,Gallions Reach,919.7836977
20,Beckton Park,65,Cyprus,625.2430974
20,Beckton Park,217,Royal Albert,591.0770846
27,Blackwall,79,East India,349.0988395
27,Blackwall,201,Poplar,743.2198629
32,Bow Church,70,Devons Road,607.0135735
32,Bow Church,204,Pudding Mill Lane,914.2257093
42,Canary Wharf,120,Heron Quays,204.5516154
42,Canary Wharf,292,West India Quay,215.4558674
43,Canning Town,79,East India,933.9425148
43,Canning Town,219,Royal Victoria,927.6539666
61,Crossharbour & London Arena,171,Mudchute,611.9567568
61,Crossharbour & London Arena,238,South Quay,644.9678253
63,Custom House,203,Prince Regent,417.1512772
63,Custom House,219,Royal Victoria,661.0503577
64,Cutty Sark,106,Greenwich,630.4672559
64,Cutty Sark,135,Island Gardens,490.763739
65,Cyprus,97,Gallions Reach,541.6505787
69,Deptford Bridge,86,Elverson Road,598.8317719
69,Deptford Bridge,106,Greenwich,651.7387961
86,Elverson Road,152,Lewisham,458.1139919
120,Heron Quays,238,South Quay,333.8406913
135,Island Gardens,171,Mudchute,460.8199951
155,Limehouse,225,Shadwell,1140.480702
155,Limehouse,284,Westferry,954.3480346
201,Poplar,284,Westferry,676.3806625
201,Poplar,292,West India Quay,222.3719683
203,Prince Regent,217,Royal Albert,901.1893377
204,Pudding Mill Lane,247,Stratford,1054.796463
225,Shadwell,262,Tower Gateway,1276.332411
284,Westferry,292,West India Quay,524.907117
95,Finsbury Park,160,Manor House,1075.632234
43,Canning Town,304,West Silvertown,1667.929087
